Date,Time,Temperature,Humidity
19/06/2022,23:05:20,100,50
19/06/2022,23:07:28,29.1,70
19/06/2022,23:07:32,29,69
19/06/2022,23:07:40,29,69
19/06/2022,23:08:38,29,67
19/06/2022,23:08:52,29.1,66
19/06/2022,23:08:59,29.1,66
19/06/2022,23:09:06,29.1,65
19/06/2022,23:09:12,29,66
19/06/2022,23:09:22,29,66
19/06/2022,23:09:36,29,66
